id,firstName,lastName,age,gender,email,lat,lng,country,fav_category_in_cart
1,Emily,Johnson,29,female,emily.johnson@x.dummyjson.com,-77.16213,-92.084824,Unknown,
2,Michael,Williams,36,male,michael.williams@x.dummyjson.com,22.815468,115.608581,Unknown,
3,Sophia,Brown,43,female,sophia.brown@x.dummyjson.com,45.289366,46.832664,Unknown,
4,James,Davis,46,male,james.davis@x.dummyjson.com,16.782513,-139.34723,Unknown,
5,Emma,Miller,31,female,emma.miller@x.dummyjson.com,0.505589,-157.43281,Unknown,
6,Olivia,Wilson,23,female,olivia.wilson@x.dummyjson.com,75.32627,-26.15285,Unknown,mobile-accessories
7,Alexander,Jones,39,male,alexander.jones@x.dummyjson.com,35.289664,7.063255,Unknown,
8,Ava,Taylor,28,female,ava.taylor@x.dummyjson.com,-81.194833,-87.948158,Unknown,
9,Ethan,Martinez,34,male,ethan.martinez@x.dummyjson.com,74.074918,-25.312703,Unknown,
10,Isabella,Anderson,32,female,isabella.anderson@x.dummyjson.com,41.331324,151.782727,Unknown,
11,Liam,Garcia,30,male,liam.garcia@x.dummyjson.com,-66.218177,-145.340165,Unknown,furniture; groceries
12,Mia,Rodriguez,25,female,mia.rodriguez@x.dummyjson.com,24.857497,-34.865429,Unknown,
13,Noah,Hernandez,41,male,noah.hernandez@x.dummyjson.com,-25.0377,-151.70469,Unknown,
14,Charlotte,Lopez,37,female,charlotte.lopez@x.dummyjson.com,-44.443762,-151.420561,Unknown,
15,William,Gonzalez,33,male,william.gonzalez@x.dummyjson.com,8.152876,113.29799,Unknown,
16,Avery,Perez,26,female,avery.perez@x.dummyjson.com,12.789127,85.792598,Unknown,
17,Evelyn,Sanchez,38,female,evelyn.sanchez@x.dummyjson.com,-83.31484,11.768071,Unknown,
18,Logan,Torres,32,male,logan.torres@x.dummyjson.com,-64.846516,174.775744,Unknown,
19,Abigail,Rivera,29,female,abigail.rivera@x.dummyjson.com,44.321308,-3.723903,Unknown,
20,Jackson,Evans,35,male,jackson.evans@x.dummyjson.com,34.722451,63.448927,Unknown,
21,Madison,Collins,27,female,madison.collins@x.dummyjson.com,52.993694,160.486892,Unknown,
22,Elijah,Stewart,34,male,elijah.stewart@x.dummyjson.com,-54.833799,-174.504027,Unknown,
23,Chloe,Morales,40,female,chloe.morales@x.dummyjson.com,-30.190759,-58.705979,Unknown,mobile-accessories
24,Mateo,Nguyen,31,male,mateo.nguyen@x.dummyjson.com,-32.828675,-82.557354,Unknown,
25,Harper,Kelly,28,female,harper.kelly@x.dummyjson.com,-26.832913,-75.445017,Unknown,
26,Evelyn,Gonzalez,36,female,evelyn.gonzalez@x.dummyjson.com,67.768359,71.268643,Unknown,
27,Daniel,Cook,42,male,daniel.cook@x.dummyjson.com,-3.456681,-134.937482,Unknown,
28,Lily,Lee,30,female,lily.lee@x.dummyjson.com,-9.87059,-72.336845,Unknown,
29,Henry,Hill,39,male,henry.hill@x.dummyjson.com,35.498256,154.088476,Unknown,
30,Addison,Wright,33,female,addison.wright@x.dummyjson.com,20.946052,100.228822,Unknown,
31,Gabriel,Adams,37,male,gabriel.adams@x.dummyjson.com,52.410844,23.60067,Unknown,
32,Natalie,Harris,29,female,natalie.harris@x.dummyjson.com,-20.105724,136.91646,Unknown,
33,Carter,Baker,32,male,carter.baker@x.dummyjson.com,-63.00584,76.189171,Unknown,womens-jewellery; mobile-accessories
34,Sofia,Mitchell,26,female,sofia.mitchell@x.dummyjson.com,-44.27707,-40.123604,Unknown,
35,Jack,Ward,30,male,jack.ward@x.dummyjson.com,52.754451,32.383886,Unknown,
36,Harper,Turner,34,female,harper.turner@x.dummyjson.com,-41.149882,-167.072873,Unknown,
37,Mason,Parker,35,male,mason.parker@x.dummyjson.com,-59.018685,82.296555,Unknown,
38,Aria,Roberts,27,female,aria.roberts@x.dummyjson.com,36.157244,-29.219594,Unknown,
39,Lucas,Gray,31,male,lucas.gray@x.dummyjson.com,-50.975209,53.492629,Unknown,
40,Ella,Adams,28,female,ella.adams@x.dummyjson.com,-20.421386,-125.851148,Unknown,
41,Evan,Reed,33,male,evan.reed@x.dummyjson.com,89.781211,-50.810277,Unknown,groceries
42,Avery,Carter,29,female,avery.carter@x.dummyjson.com,-59.303292,-87.318538,Unknown,kitchen-accessories; mens-shoes
43,Benjamin,Foster,35,male,benjamin.foster@x.dummyjson.com,41.653453,175.676203,Unknown,
44,Scarlett,Wright,27,female,scarlett.wright@x.dummyjson.com,-58.699428,143.479322,Unknown,
45,Lincoln,Kelly,31,male,lincoln.kelly@x.dummyjson.com,59.268321,-30.466022,Unknown,
46,Hannah,Robinson,30,female,hannah.robinson@x.dummyjson.com,3.84181,-33.501862,Unknown,
47,Nicholas,Bailey,36,male,nicholas.bailey@x.dummyjson.com,2.340163,-34.156688,Unknown,
48,Luna,Russell,28,female,luna.russell@x.dummyjson.com,81.64788,179.922909,Unknown,
49,Jacob,Cooper,32,male,jacob.cooper@x.dummyjson.com,75.201414,-106.866138,Unknown,
50,Stella,Hughes,34,female,stella.hughes@x.dummyjson.com,-29.825372,116.639085,Unknown,
51,Eli,Bennett,30,male,eli.bennett@x.dummyjson.com,-15.022759,58.392572,Unknown,
52,Grace,Perry,27,female,grace.perry@x.dummyjson.com,-63.108401,-30.256437,Unknown,
53,Lucas,Gordon,36,male,lucas.gordon@x.dummyjson.com,-54.741494,-116.593511,Unknown,
54,Ava,Harrison,29,female,ava.harrison@x.dummyjson.com,-84.032892,-46.255902,Unknown,
55,Owen,Fisher,32,male,owen.fisher@x.dummyjson.com,79.330781,-13.162134,Unknown,
56,Samantha,Howard,31,female,samantha.howard@x.dummyjson.com,-30.25137,124.764848,Unknown,
57,Nathan,Dixon,35,male,nathan.dixon@x.dummyjson.com,-15.794158,-83.214052,Unknown,
58,Bella,Grant,28,female,bella.grant@x.dummyjson.com,30.371676,-141.802948,Unknown,
59,Ethan,Fletcher,34,male,ethan.fletcher@x.dummyjson.com,29.411519,23.598322,Unknown,sports-accessories
60,Lillian,Simmons,33,female,lillian.simmons@x.dummyjson.com,-78.054184,-159.412033,Unknown,
61,Mason,Pearson,29,male,mason.pearson@x.dummyjson.com,-38.914334,171.16941,Unknown,
62,Leah,Henderson,27,female,leah.henderson@x.dummyjson.com,24.228272,23.462478,Unknown,
63,Logan,Lawson,34,male,logan.lawson@x.dummyjson.com,40.581664,146.441717,Unknown,
64,Avery,Barnes,30,female,avery.barnes@x.dummyjson.com,-5.728671,38.921097,Unknown,
65,Caleb,Perkins,31,male,caleb.perkins@x.dummyjson.com,-25.994847,-147.135588,Unknown,
66,Aria,Ferguson,28,female,aria.ferguson@x.dummyjson.com,-66.092723,169.9952,Unknown,groceries
67,Gabriel,Hayes,35,male,gabriel.hayes@x.dummyjson.com,-25.766511,-76.004117,Unknown,
68,Layla,Sullivan,26,female,layla.sullivan@x.dummyjson.com,89.415268,-29.532108,Unknown,
69,Christopher,West,32,male,christopher.west@x.dummyjson.com,-82.516652,-147.519835,Unknown,
70,Zoe,Nicholson,33,female,zoe.nicholson@x.dummyjson.com,35.632082,127.968158,Unknown,
71,Nolan,Bryant,30,male,nolan.bryant@x.dummyjson.com,-87.184494,-137.530694,Unknown,
72,Victoria,McDonald,28,female,victoria.mcdonald@x.dummyjson.com,-72.323497,138.264727,Unknown,
73,Max,Russell,35,male,max.russell@x.dummyjson.com,27.088722,104.023237,Unknown,
74,Penelope,Harper,29,female,penelope.harper@x.dummyjson.com,54.991384,14.355841,Unknown,
75,Ryan,Graham,32,male,ryan.graham@x.dummyjson.com,11.44191,-42.217944,Unknown,mens-shirts
76,Madeline,Simpson,27,female,madeline.simpson@x.dummyjson.com,-61.252684,-159.370289,Unknown,
77,Jonathan,Pierce,34,male,jonathan.pierce@x.dummyjson.com,-85.385955,-49.11738,Unknown,
78,Eleanor,Tyler,31,female,eleanor.tyler@x.dummyjson.com,51.5965,47.479982,Unknown,
79,Isaac,Lawrence,33,male,isaac.lawrence@x.dummyjson.com,63.188944,-119.083714,Unknown,
80,Hazel,Gardner,28,female,hazel.gardner@x.dummyjson.com,-9.898936,81.738951,Unknown,
81,Austin,Hudson,30,male,austin.hudson@x.dummyjson.com,-28.392471,-44.144328,Unknown,
82,Lillian,Bishop,27,female,lillian.bishop@x.dummyjson.com,39.203338,-68.447736,Unknown,
83,Dylan,Wells,35,male,dylan.wells@x.dummyjson.com,-82.623651,33.259567,Unknown,
84,Aaliyah,Hanson,29,female,aaliyah.hanson@x.dummyjson.com,15.832722,-148.237795,Unknown,
85,Cameron,Burke,32,male,cameron.burke@x.dummyjson.com,-64.736971,-145.00299,Unknown,
86,Nora,Mills,27,female,nora.mills@x.dummyjson.com,-21.747982,-17.382449,Unknown,vehicle
87,Hunter,Gordon,34,male,hunter.gordon@x.dummyjson.com,72.687425,145.404561,Unknown,womens-shoes; groceries; sunglasses
88,Aubrey,Wagner,31,female,aubrey.wagner@x.dummyjson.com,-55.796433,-163.621876,Unknown,
89,Brayden,Fleming,33,male,brayden.fleming@x.dummyjson.com,-31.165455,80.818634,Unknown,
90,Scarlett,Bowman,28,female,scarlett.bowman@x.dummyjson.com,49.409345,-134.912011,Unknown,mens-shoes; skin-care; tops
91,Levi,Hicks,30,male,levi.hicks@x.dummyjson.com,43.752994,-60.845798,Unknown,
92,Autumn,Gomez,27,female,autumn.gomez@x.dummyjson.com,27.443768,-176.861979,Unknown,
93,Julian,Newton,35,male,julian.newton@x.dummyjson.com,37.071505,6.844804,Unknown,
94,Ruby,Andrews,29,female,ruby.andrews@x.dummyjson.com,17.888532,147.485554,Unknown,kitchen-accessories
95,Miles,Stevenson,32,male,miles.stevenson@x.dummyjson.com,87.914882,55.932358,Unknown,
96,Aurora,Lawson,27,female,aurora.lawson@x.dummyjson.com,83.417744,-7.933044,Unknown,
